,id,username,model_name,timestamp,stepname,app_name,accelerometer_x,accelerometer_y,accelerometer_z,Inclination,year,month,day,time,Date,Day_name
55,25048,junaid,d14_1a_bundle,2020-02-17 19:01:58,Step 9,Engineering_Drawing_AR,-0.008857079,-0.8191884,-0.5751634,125.07164400326617,2020,02,17,19:01:58,2020-02-17,Monday
56,25047,junaid,d14_1a_bundle,2020-02-17 19:01:44,Step 8,Engineering_Drawing_AR,-0.009101209,-0.810949,-0.5851116999999999,125.80929387295281,2020,02,17,19:01:44,2020-02-17,Monday
57,25046,junaid,d14_1a_bundle,2020-02-17 19:01:18,Step 7,Engineering_Drawing_AR,-0.01294626,-0.8157705,-0.5841352,125.60126947577898,2020,02,17,19:01:18,2020-02-17,Monday
58,25045,junaid,d14_1a_bundle,2020-02-17 19:00:57,Step 6,Engineering_Drawing_AR,-0.008307786999999999,-0.8210194,-0.5777269,125.13152943148559,2020,02,17,19:00:57,2020-02-17,Monday
59,25044,junaid,d14_1a_bundle,2020-02-17 19:00:42,Step 5,Engineering_Drawing_AR,-0.00910121,-0.8163809,-0.5763841,125.22131280639923,2020,02,17,19:00:42,2020-02-17,Monday
60,25043,junaid,d14_1a_bundle,2020-02-17 19:00:20,Step 4,Engineering_Drawing_AR,-0.006904039,-0.8179066999999999,-0.5747361999999999,125.09443226543523,2020,02,17,19:00:20,2020-02-17,Monday
61,25042,junaid,d14_1a_bundle,2020-02-17 18:59:48,Step 3,Engineering_Drawing_AR,-0.00598855,-0.8204089,-0.5752856,125.03811754475298,2020,02,17,18:59:48,2020-02-17,Monday
62,25041,junaid,d14_1a_bundle,2020-02-17 18:59:35,Step 2,Engineering_Drawing_AR,-0.0075143630000000005,-0.8152213,-0.5789475000000001,125.38016174256626,2020,02,17,18:59:35,2020-02-17,Monday
63,25040,junaid,d14_1a_bundle,2020-02-17 18:59:25,Step 1,Engineering_Drawing_AR,-0.003486216,-0.8008786,-0.5922526,126.48279899470188,2020,02,17,18:59:25,2020-02-17,Monday
64,25039,junaid,d14_1a_bundle,2020-02-17 18:59:01,Introduction,Engineering_Drawing_AR,-0.01056599,-0.80924,-0.5930459,126.2332373535293,2020,02,17,18:59:01,2020-02-17,Monday
65,25038,junaid,m17_6b_bundle,2020-02-17 18:58:31,Step 8,Engineering_Drawing_AR,-0.005134095,-0.8122305999999999,-0.5829755999999999,125.66821660141247,2020,02,17,18:58:31,2020-02-17,Monday
66,25037,junaid,m17_6b_bundle,2020-02-17 18:58:18,Step 7,Engineering_Drawing_AR,-0.00672094,-0.8171743,-0.5813276999999999,125.42666153317306,2020,02,17,18:58:18,2020-02-17,Monday
67,25036,junaid,m17_6b_bundle,2020-02-17 18:58:01,Step 6,Engineering_Drawing_AR,-0.00885708,-0.8207752,-0.5756518,125.04238349389156,2020,02,17,18:58:01,2020-02-17,Monday
68,25035,junaid,m17_6b_bundle,2020-02-17 18:57:32,Step 5,Engineering_Drawing_AR,-0.006904038,-0.8408549000000001,-0.551971,123.28162051363606,2020,02,17,18:57:32,2020-02-17,Monday
69,25034,junaid,m17_6b_bundle,2020-02-17 18:57:08,Step 4,Engineering_Drawing_AR,-0.009406372,-0.820592,-0.5824873,125.36679975649285,2020,02,17,18:57:08,2020-02-17,Monday
