,id,username,model_name,timestamp,stepname,app_name,accelerometer_x,accelerometer_y,accelerometer_z,lat,lon
824,24279,drone_ar_20_044,drona_pluto_bundle,2020-02-08 09:19:06,Step 2,Drone_Fundamentals,-0.07722713,-0.5429611999999999,-0.8407695,0.0,0.0
825,24278,drone_ar_20_044,drona_pluto_bundle,2020-02-08 09:19:01,Step 1,Drone_Fundamentals,-0.08040130000000001,-0.5517508000000001,-0.8913072,0.0,0.0
826,24277,drone_ar_20_044,drona_pluto_bundle,2020-02-08 09:18:51,Screws,Drone_Fundamentals,-0.04133883,-0.5605389000000001,-0.903758,0.0,0.0
827,24276,drone_ar_20_044,drona_pluto_bundle,2020-02-08 09:18:45,Frame,Drone_Fundamentals,-0.05378966,-0.5478438,-0.9000968,0.0,0.0
828,24275,drone_ar_20_044,drona_pluto_bundle,2020-02-08 09:18:41,Dampers,Drone_Fundamentals,-0.05501109,-0.5600504,-0.8375953000000002,0.0,0.0
829,24274,drone_ar_20_044,drona_pluto_bundle,2020-02-08 09:18:22,Primus X,Drone_Fundamentals,-0.0650206,-0.5781182,-0.8422351999999999,0.0,0.0
830,24273,drone_ar_20_030,drona_pluto_bundle,2020-02-07 18:55:41,Primus X,Drone_Fundamentals,0.7104436,0.09545836,-0.7798722,0.0,0.0
831,24272,drone_ar_20_030,drona_pluto_bundle,2020-02-07 18:44:38,Screws,Drone_Fundamentals,0.11254280000000001,-0.2668462,-0.9768945,0.0,0.0
832,24271,drone_ar_20_030,drona_pluto_bundle,2020-02-07 18:44:36,Frame,Drone_Fundamentals,0.1323176,-0.27417009999999997,-0.9341693000000001,0.0,0.0
833,24270,drone_ar_20_030,drona_pluto_bundle,2020-02-07 18:44:31,Dampers,Drone_Fundamentals,0.153558,-0.3442382,-0.9475973,0.0,0.0
834,24269,drone_ar_20_030,drona_pluto_bundle,2020-02-07 18:44:00,Primus X,Drone_Fundamentals,0.1298763,-0.01611356,-0.9712790000000001,0.0,0.0
835,24268,drone_ar_20_036,pluto_functionality_bundle,2020-02-07 16:46:07,Charging Port,Drone_Fundamentals,0.7754143,0.12744529999999998,-0.6489456,0.0,0.0
836,24267,drone_ar_20_035,drona_pluto_bundle,2020-02-07 16:45:59,Step 1,Drone_Fundamentals,-0.04316554,-0.6577929,-0.6766340000000001,0.0,0.0
837,24266,drone_ar_20_035,drona_pluto_bundle,2020-02-07 16:45:06,Step 3,Drone_Fundamentals,-0.005834863000000001,-0.7844281,-0.6229533,0.0,0.0
838,24265,drone_ar_20_035,drona_pluto_bundle,2020-02-07 16:45:05,Step 3,Drone_Fundamentals,-0.0224261,-0.7773531,-0.6051422,0.0,0.0
839,24264,drone_ar_20_036,pluto_functionality_bundle,2020-02-07 16:44:58,Motors,Drone_Fundamentals,0.1809137,-0.02148503,-1.0022280000000001,0.0,0.0
840,24263,drone_ar_20_034,drona_pluto_bundle,2020-02-07 16:44:59,Step 3,Drone_Fundamentals,0.46077609999999997,-0.005517340999999999,-0.9382556999999999,0.0,0.0
841,24262,drone_ar_20_035,drona_pluto_bundle,2020-02-07 16:44:44,Step 3,Drone_Fundamentals,-0.03096678,-0.6631609,-0.7822855,0.0,0.0
